,Username,Link,Text,Human,Chat GPT,Date
,m_arsya2,https://www.tiktok.com/@m_arsya2,"wangi Duit,,,Bohong aja kamu",Negatif,Negatif,08/11/2023
,limitied_edition,https://www.tiktok.com/@limitied_edition,aku pakai bau nya kaya bensin,Negatif,Negatif,08/11/2023
,use57581,https://www.tiktok.com/@use57581,di Indomaret atau Alfamart adakah?,Netral,Netral,07/11/2023
,muhammadwildan3737,https://www.tiktok.com/@muhammadwildan3737,ka mau nanya itu alkohol apa bukan ya,Netral,Netral,06/11/2023
,kaka04977,https://www.tiktok.com/@kaka04977,amber ga ada tandingan nya,Positif,Positif,25/09/2023
,varoxzvx,https://www.tiktok.com/@varoxzvx,woody bagus tuh bang bau nya laki-laki banget,Positif,Positif,25/09/2023
,fauzi.yujenk,https://www.tiktok.com/@fauzi.yujenk,"mahal banget, di indomaret cuma empat puluh ribu",Negatif,Negatif,25/09/2023
,yanzblade,https://www.tiktok.com/@yanzblade,"wangi nya tahan lama,harga murah tapi bagus banget pertahankan kualitas ",Positif,Positif,24/09/2023
,londoogincarlo25,https://www.tiktok.com/@londoogincarlo25,Tahan lama Metropolis,Positif,Positif,22/09/2023
,duha_ramadhan27,https://www.tiktok.com/@duha_ramadhan27,mantap banget wangi nya aku beli yang woody empat botol dapat diskon pengiriman nya cepet,Positif,Positif,19/09/2023
,diangowing,https://www.tiktok.com/@diangowing,lebih murah beli di Shopee dapat harga tiga puluh ribu,Negatif,Negatif,07/09/2023
,anjalo94,https://www.tiktok.com/@anjalo94,wangi nya enak banget aku suka,Positif,Positif,06/09/2023
,aka.capybara,https://www.tiktok.com/@aka.capybara,"tahan lama banget bau nya keren kemaren malam aku coba di alfa semprotin ke tangan ,besok nya pagi masih ada bau nya",Positif,Positif,06/09/2023
,mahesqyz1nm,https://www.tiktok.com/@mahesqyz1nm,cantik banget host satu ini ka,Positif,Positif,06/09/2023
,mahesefv28v,https://www.tiktok.com/@mahesefv28v,cuma sebentar aja udah hilang aroma parfum nya sisa alkohol,Negatif,Negatif,06/09/2023
,mahesgawviq,https://www.tiktok.com/@mahesgawviq,host nya cantik begini siapa sih yang ga mau beli,Positif,Positif,06/09/2023
,mahesywobtg,https://www.tiktok.com/@mahesywobtg,"parfum jelek tutup botol gampang pecah, pembelian ga dapat box pokok nya parah dah",Negatif,Negatif,05/09/2023
,maheshmm3zd,https://www.tiktok.com/@maheshmm3zd,kualitas nya buruk dengan harga segitu,Negatif,Negatif,05/09/2023
,dickywahyudi8112,https://www.tiktok.com/@dickywahyudi8112,serius saya sudah pesan dari minggu lalu sampai sekarang belum di kirim lama banget kaya keong,Negatif,Negatif,03/09/2023
,krisnasandesu,https://www.tiktok.com/@krisnasandesu,kok ga live sih kakak saya kalau mau beli ga dapet promo,Negatif,Negatif,27/08/2023
,rapitzyxv,https://www.tiktok.com/@rapitzyxv,itu yang woody bau nya nikmat dan enak banget ada di alfa,Positif,Positif,22/08/2023
,.e.n.z.o81,https://www.tiktok.com/@.e.n.z.o81,tapi kakak yang di live bilang rekomendasi amber sama woddy buat pria..tunggu barang sampai aja deh mau liat wangi nya tahan berapa jam,Netral,Netral,20/08/2023
,m.erlando_15,https://www.tiktok.com/@m.erlando_15,beli yang woody wangi nya seperti parfum arab,Positif,Positif,20/08/2023
,tuluskopi,https://www.tiktok.com/@tuluskopi,semoga sukses usaha nya dan lancar rezeki nya ka cantik,Positif,Positif,20/08/2023
,akaii_89,https://www.tiktok.com/@akaii_89,udah lengkap dong punya semua emang ga ada yang mengecewakan wangi nya nikmat semua,Positif,Positif,20/08/2023
,ryo_onoskal,https://www.tiktok.com/@ryo_onoskal,seperti nya wangi nya sama yang woody sama aquatic,Netral,Netral,17/08/2023
,antigalaubah,https://www.tiktok.com/@antigalaubah,saking wangi nya nyebar banget nih parfum temen kelas aku pada minta,Positif,Positif,17/08/2023
,donigaspar0,https://www.tiktok.com/@donigaspar0,"alhamdulillah saya sudah beberapa kali beli ,dan yang ukuran 100 mili, dan 50 mili, yang cowo, dan cewe nya. sudah beli alhmdulillah laku . sudah 20 beli",Positif,Positif,16/08/2023
,yakinoke,https://www.tiktok.com/@yakinoke,ga ada yang aquatic sama amber kak?,Netral,Netral,16/08/2023
,endicamol18,https://www.tiktok.com/@endicamol18,wangi nya nikmat seperti belagio,Positif,Positif,16/08/2023
,vioo_lull,https://www.tiktok.com/@vioo_lull,mahal banget di sini aku beli di indomaret murah itu empat puluh lima ribu doang,Negatif,Negatif,16/08/2023
,user4781225102079,https://www.tiktok.com/@user4781225102079,wangi nya sebentar saya udah beli,Negatif,Negatif,15/08/2023
,wijayapradana35,https://www.tiktok.com/@wijayapradana35,aroma Woody enak ga sih,Netral,Netral,15/08/2023
,khaillan10,https://www.tiktok.com/@khaillan10,parfum morris paling enak di indonesia menurut aku,Positif,Positif,14/08/2023
,salawasnahngkul,https://www.tiktok.com/@salawasnahngkul,"ka aku udah pesen sampai empat hari masih status menunggu kurir, kenapa lama sekali ka",Negatif,Negatif,14/08/2023
,4galung,https://www.tiktok.com/@4galung,Asli tidak mengecewakan aroma nya mantap dan kurir cepat ngantar cuman 3 hari,Positif,Positif,14/08/2023
,darmatasiahata,https://www.tiktok.com/@darmatasiahata,males ga pernah ada aquatic nya,Negatif,Negatif,14/08/2023
,lunahao6,https://www.tiktok.com/@lunahao6,aku udah beli yang aquastic sumpah wangi nya tahan banget,Positif,Positif,13/08/2023
,yotta0505,https://www.tiktok.com/@yotta0505,udah ngestok dua aquatic dan satu woody tapi jujur paling suka sama aquatic wangi nya beneran tahan lama banget sumpah,Positif,Positif,13/08/2023
,fox_mlbb,https://www.tiktok.com/@fox_mlbb,"enam puluh tujuh ribu dapet dua botol 100 mili, murah ga ?",Netral,Netral,13/08/2023
,sang_aquarius,https://www.tiktok.com/@sang_aquarius,"lumayan awet bang, nyaman juga bau nya",Positif,Positif,12/08/2023
,ronyadytya,https://www.tiktok.com/@ronyadytya,sama ga dengan yang di indomart,Netral,Netral,11/08/2023
,sang_aquarius,https://www.tiktok.com/@sang_aquarius,udah punya semua lagi emang bikin ketagihan wangi nya sejuk banget,Positif,Positif,11/08/2023
,wah_you.99,https://www.tiktok.com/@wah_you.99,"punya aku baru aja sampai kirain botol nya plastik, ternyata kaca wah kualitas nya ga di raguin lagi",Positif,Positif,10/08/2023
,rimurutemts,https://www.tiktok.com/@rimurutemts,"baru aja sampai mantap, wanginya juga enak",Positif,Positif,10/08/2023
,zllaynr.a,https://www.tiktok.com/@zllaynr.a,yang glory wangi nya enak banget buat di pake kerja kantoran dari pagi sampe sore ga ilang,Positif,Positif,09/08/2023
,aanhermawan_,https://www.tiktok.com/@aanhermawan_,baru aja beli yang aquatic black edition,Netral,Netral,08/08/2023
,darmansyah701,https://www.tiktok.com/@darmansyah701,kak saya beli di aplikasi oren tujuh belas ribu kok di sini mahal sih,Negatif,Negatif,08/08/2023
,low_brain,https://www.tiktok.com/@low_brain,woody enak sih aroma nya buat sekolah,Positif,Positif,08/08/2023
,an25472,https://www.tiktok.com/@an25472,wah Udah coba ini mantep,Positif,Positif,07/08/2023
,stennylumi,https://www.tiktok.com/@stennylumi,saya suka morris dari lama,Positif,Positif,07/08/2023
,acah_1928,https://www.tiktok.com/@acah_1928,lebih murah di alfamart berarti,Negatif,Negatif,06/08/2023
,_satriaa_,https://www.tiktok.com/@_satriaa_,udah nyampe produk nya dan oke banget wangi nya,Positif,Positif,05/08/2023
,faridokviandy,https://www.tiktok.com/@faridokviandy,"keren parfum nya wangi nya juga harum, saya sudah cek out ",Positif,Positif,05/08/2023
,adi_allpian11,https://www.tiktok.com/@adi_allpian11,ya allah ini serius wangi banget tahan lama wangi nya. parfum aku baru dateng langsung pake wangi banget wangi nya awet tahan lama,Positif,Positif,05/08/2023
,rohmanshapitra,https://www.tiktok.com/@rohmanshapitra,spill morris yang cocok buat diluar ruangan kak,Netral,Netral,05/08/2023
,vz_selatan,https://www.tiktok.com/@vz_selatan,wangi nya enak banget satu hari wangi nya masih ada gak hilang,Positif,Positif,05/08/2023
,nyyqxx,https://www.tiktok.com/@nyyqxx,kurang suka aku sama bau nya ga cocok sama aku,Negatif,Negatif,04/08/2023
,vand_d,https://www.tiktok.com/@vand_d,Paling favorit yang tropical edition enak wangi nya,Positif,Positif,04/08/2023
,sansawansan,https://www.tiktok.com/@sansawansan,"ga banget, aku kurang suka",Negatif,Negatif,03/08/2023
,davinnyz,https://www.tiktok.com/@davinnyz,Morris emang terbaik,Positif,Positif,03/08/2023
,ridwand_number_one,https://www.tiktok.com/@ridwand_number_one,"harga nya murah, tapi wangi nya ga murahan, aku barusan beli varian Woody di alfamart",Positif,Positif,03/08/2023
,beautylover822,https://www.tiktok.com/@beautylover822,saya beli di sini kemaren pas sampe botol nya pecah dan tutup nya lepas,Negatif,Negatif,02/08/2023
,iwakkali_,https://www.tiktok.com/@iwakkali_,kalo di mix bisa ga ka?,Netral,Netral,02/08/2023
,sinull14,https://www.tiktok.com/@sinull14,cocok banget sama saya parfum nya ,Positif,Positif,02/08/2023
,bram8992,https://www.tiktok.com/@bram8992,Emang boleh jadi Murah banget,Positif,Positif,02/08/2023
,ardilaaaa_10,https://www.tiktok.com/@ardilaaaa_10,itu kan parfum nya varian favorit saya wangi nya enak banget cocok buat anak sekolah parfum saya udah habis mau beli lagi,Positif,Positif,07/07/2023
,afikaadilaput,https://www.tiktok.com/@afikaadilaput,"mau dong parfum nya, aku udah pernah beli enak ",Positif,Positif,06/06/2023
,herrylejiuborneo,https://www.tiktok.com/@herrylejiuborneo,pengiriman ke jakarta doang seminggu lebih kecewa sama pengiriman nya lama banget,Negatif,Negatif,06/06/2023
,ath.ig,https://www.tiktok.com/@ath.ig,lebih suka merek sebelah dari pada merek ini,Negatif,Negatif,05/06/2023
,alifibnuu,https://www.tiktok.com/@alifibnuu,"kalo bisa parfum nya yang tahan lama kak, yang ini ketiup angin jalan aja udah ilang",Negatif,Negatif,05/06/2023
,momentsadd5,https://www.tiktok.com/@momentsadd5,bau nya enak cocok buat badan aku,Positif,Positif,05/06/2023
,cityhunter581,https://www.tiktok.com/@cityhunter581,kurang suka aku parfum nya ,Negatif,Negatif,05/06/2023
,ombol05,https://www.tiktok.com/@ombol05,bau nya kurang suka buat aku,Negatif,Negatif,05/06/2023
,indrasusanto296,https://www.tiktok.com/@indrasusanto296,kata sodara aku wangi nya kaya balsem ka,Negatif,Negatif,05/06/2023
,adriananangalo2,https://www.tiktok.com/@adriananangalo2,nice aku suka banget parfum nya wangi nya pas,Positif,Positif,05/06/2023
,supardidi57,https://www.tiktok.com/@supardidi57,bismillah parfum kesukaan aku,Positif,Positif,05/06/2023
,laiaagusniaman,https://www.tiktok.com/@laiaagusniaman,perfum kesukaan aku nih,Positif,Positif,05/06/2023
,ttsk_,https://www.tiktok.com/@ttsk_,kata ayah aku bau nya ga enak kaya parfum murahan kebanyakan alkhol,Negatif,Negatif,05/06/2023
,iniialyaaaaaaa,https://www.tiktok.com/@iniialyaaaaaaa,"rekomendasi banget buat temen-temen, aku udah coba enak wangi nya cocok",Positif,Positif,04/06/2023
,kinarrrr99_,https://www.tiktok.com/@kinarrrr99_,"aku beli lima, buat ganti sehari-hari beda wangi nya tapi semua nya aku suka ",Positif,Positif,04/06/2023
,agus.wijaya54,https://www.tiktok.com/@agus.wijaya54,ga enak aku kurang suka,Negatif,Negatif,04/06/2023
,spilcitra,https://www.tiktok.com/@spilcitra,botol nya kaca doang tapi gampang pecah jelek banget,Negatif,Negatif,04/06/2023
,panggilsajazulie,https://www.tiktok.com/@panggilsajazulie,boleh nih rekomen banget wangi nya emang pas ,Positif,Positif,04/06/2023
,iyodkober4,https://www.tiktok.com/@iyodkober4,iklan penipu aku udah nyoba bau nya ga enak sama sekali,Negatif,Negatif,04/06/2023
,iyemkaku3,https://www.tiktok.com/@iyemkaku3,kurang enak menurut aku,Negatif,Negatif,04/06/2023
,titasukaesih1,https://www.tiktok.com/@titasukaesih1,cantik banget artis idola,Positif,Positif,04/06/2023
,user6037095886131,https://www.tiktok.com/@user6037095886131,bahan botol nya jelek banget gampang pecah dan lepas tutup nya,Negatif,Negatif,04/06/2023
,muhammadhafis1560,https://www.tiktok.com/@muhammadhafis1560,kurang suka aku sama wangi nya,Negatif,Negatif,04/06/2023
,fitrianaspiliang,https://www.tiktok.com/@fitrianaspiliang,MasyaAllah cantik,Positif,Positif,04/06/2023
,natanlede,https://www.tiktok.com/@natanlede,bau nya ga cocok sama badan aku,Negatif,Negatif,04/06/2023
,user8193023777106,https://www.tiktok.com/@user8193023777106,mau dong gimana cara nya mbak??,Netral,Netral,04/06/2023
,armas979,https://www.tiktok.com/@armas979,parfum nya enak wangi nya,Positif,Positif,04/06/2023
,kaerulqye78,https://www.tiktok.com/@kaerulqye78,botol nya gampang baret ketahuan kualitas nya ga di jaga,Negatif,Negatif,03/06/2023
,dinamalde,https://www.tiktok.com/@dinamalde,"simple, wanginya enak aku suka ",Positif,Positif,03/06/2023
,masmaslain,https://www.tiktok.com/@masmaslain,varian pelanggi terbaik,Positif,Positif,03/06/2023
,earth.vi,https://www.tiktok.com/@earth.vi,ini enak banget wangi nya apalagi yang hijau favorit banget,Positif,Positif,03/06/2023
,wawansntkar,https://www.tiktok.com/@wawansntkar,wahh cantik nya nih host morris,Positif,Positif,03/06/2023
,lasahinda83,https://www.tiktok.com/@lasahinda83,keren banget ka aku suka parfum nya ,Positif,Positif,03/06/2023
,borneogame2,https://www.tiktok.com/@borneogame2,kurang suka hehehe maaf,Negatif,Negatif,03/06/2023
,yadi_truk,https://www.tiktok.com/@yadi_truk,sehat selalu kaka,Positif,Positif,03/06/2023
,user9946109613654,https://www.tiktok.com/@user9946109613654,"semangat Kaka jualan nya, parfum nya juga aku suka",Positif,Positif,03/06/2023
,ketut_yuliani,https://www.tiktok.com/@ketut_yuliani,wangi nya lenyap hanya dalam hitungan menit,Negatif,Negatif,03/06/2023
,denmastotok,https://www.tiktok.com/@denmastotok,botol nya bocor pas mau di semprot,Negatif,Negatif,03/06/2023
,muhammadsahri227,https://www.tiktok.com/@muhammadsahri227,Wangi nya terlalu manis dan bukan jenis yang cocok untuk semua orang,Negatif,Negatif,03/06/2023
,jakasatriajaka0,https://www.tiktok.com/@jakasatriajaka0,aku mengalami iritasi kulit ,Negatif,Negatif,03/06/2023
,kaerulqye78,https://www.tiktok.com/@kaerulqye78,Harga parfum ini tidak sebanding dengan kualitas nya yang rendah,Negatif,Negatif,03/06/2023
,trisnohp,https://www.tiktok.com/@trisnohp,aku suka banget parfum Moris ,Positif,Positif,03/06/2023
,kangponsel,https://www.tiktok.com/@kangponsel,keren emang parfum Moris,Positif,Positif,03/06/2023
,erviana8170,https://www.tiktok.com/@erviana8170,Aroma parfum nya ga enak terlalu kuno,Negatif,Negatif,03/06/2023
,jarwoadjie,https://www.tiktok.com/@jarwoadjie,sulit untuk disemprotkan dengan benar dan seringkali menyemprotkan terlalu banyak atau terlalu sedikit,Negatif,Negatif ,03/06/2023
,mariaimeldabate,https://www.tiktok.com/@mariaimeldabate,wangi nya menguap begitu cepat,Negatif,Negatif,03/06/2023
,user7742074579495,https://www.tiktok.com/@user7742074579495,Kemasa nnya terlalu besar dan tidak praktis untuk dibawa bepergian,Negatif,Negatif,03/06/2023
,user8185780284383,https://www.tiktok.com/@user8185780284383,aroma parfum ini semakin terasa seperti bau alkohol yang menusuk hidung,Negatif,Negatif,03/06/2023
,dyn3foduoezr,https://www.tiktok.com/@dyn3foduoezr,terasa seperti campuran bahan kimia yang murahan,Negatif,Negatif,03/06/2023
,noviadriyana4,https://www.tiktok.com/@noviadriyana4,ga minat parfum apaan ga ada box nya,Negatif,Negatif,03/06/2023
,triyuliani578,https://www.tiktok.com/@triyuliani578,cantik banget,Negatif,Negatif,02/06/2023
,reslywarbal,https://www.tiktok.com/@reslywarbal,Wangi nya terlalu lemah sampe ga kecium,Negatif,Negatif,02/06/2023
,pipirahayu0,https://www.tiktok.com/@pipirahayu0,wangi nya terlalu tua dan klasik untuk selera aku yang lebih muda dan modern,Negatif,Negatif,02/06/2023
,supripjs,https://www.tiktok.com/@supripjs,ka buat cewek sekolah apa yang enak?,Netral,Netral,02/06/2023
,srikarya8,https://www.tiktok.com/@srikarya8,kun fayakun kk semangat ,Negatif,Negatif,02/06/2023
,palsu12346,https://www.tiktok.com/@palsu12346,"tanggal 14,di hari valentine dan di hari ulang tahun aku kak,, mau beli parfum kesukaanku",Positif,Positif,02/06/2023
,user1324358276101,https://www.tiktok.com/@user1324358276101,yaelah wangi nya pas di semprot doang kena angin dikit langsung ilang wangi nya,Negatif,Negatif,02/06/2023
,nakimsport,https://www.tiktok.com/@nakimsport,"pesen dua yang di kirim satu, kalau jualan yang amanah dong ",Negatif,Negatif,02/06/2023
,maryani.25,https://www.tiktok.com/@maryani.25,"cantik nya ga palsu, semangat kaka",Positif,Positif,02/06/2023
,saepuloh6677,https://www.tiktok.com/@saepuloh6677,saya kecewa ka kotak pengiriman nya sudah kebuka,Negatif,Negatif,02/06/2023
,ullye_inzhagie,https://www.tiktok.com/@ullye_inzhagie,buat saya wangi nya kurang banget ga sepadat dengan harga nya,Negatif,Negatif,02/06/2023
,suheriherwanto,https://www.tiktok.com/@suheriherwanto,wangi nya kurang awet,Negatif,Negatif,02/06/2023
,iim_kusmiati76,https://www.tiktok.com/@iim_kusmiati76,"keren ka, aku mau beli",Positif,Positif,02/06/2023
,gusnitaputriii,https://www.tiktok.com/@gusnitaputriii,"mau banget, parfum kesukaan aku ",Positif,Positif,01/06/2023
,alfahriasalbi,https://www.tiktok.com/@alfahriasalbi,mau belii... aku suka,Positif,Positif,01/06/2023
,ardianswanjr,https://www.tiktok.com/@ardianswanjr,saran parfum nya yang paling best kak,Netral,Netral,01/06/2023
,noyusarahsarah299,https://www.tiktok.com/@noyusarahsarah299,buat ibu-ibu ada gak,Netral,Netral,01/06/2023
,jenah154,https://www.tiktok.com/@jenah154,buat cewe yang mana,Netral,Netral,01/06/2023
,milanurani33,https://www.tiktok.com/@milanurani33,toko ga jelas orang beli dua malah di kirim 1,Negatif,Negatif,01/06/2023
,mamangkardi123,https://www.tiktok.com/@mamangkardi123,"merek jelek pengiriman lama banget, pas di pake juga langsung ilang",Negatif,Negatif,01/06/2023
,riopranata856,https://www.tiktok.com/@riopranata856,standar toko nya jelek banget ga bisa memberika pelayanan yang bagus,Negatif,Negatif,01/06/2023
,kangbayu1970,https://www.tiktok.com/@kangbayu1970,semangat kaka semoga laris,Positif,Positif,01/06/2023
,junaidimuhammad004,https://www.tiktok.com/@junaidimuhammad004,"manis banget kaka nya, jadi pengen beli parfum nya ",Positif,Positif,01/06/2023
,shita408,https://www.tiktok.com/@shita408,kurang suka hahahaha,Negatif,Negatif,01/06/2023
,g3trekt_lol01,https://www.tiktok.com/@g3trekt_lol01,ah baunya kurang suka,Negatif,Negatif,01/06/2023
,yuyunyuniar292,https://www.tiktok.com/@yuyunyuniar292,"mau beli parfum nya, udah pernah nyoba nagih emang..",Positif,Positif,01/06/2023
,tu846u5.5u614rto,https://www.tiktok.com/@tu846u5.5u614rto,kaka nya cakep amat,Positif,Positif,01/06/2023
,anton6194904580277,https://www.tiktok.com/@anton6194904580277,cocok banget parfum buat ngedate bareng ayang ,Positif,Positif,01/06/2023
,gonderong45,https://www.tiktok.com/@gonderong45,cocok nih buat anak muda enak wangi nya pas,Positif,Positif,01/06/2023
,izagendeng,https://www.tiktok.com/@izagendeng,bisa ga sih pengiriman nya jagan lama lama dasar toko burik,Negatif,Negatif,31/05/2023
,hoerularifin5,https://www.tiktok.com/@hoerularifin5,kalau untuk cowo yang mana kak,Netral,Netral,31/05/2023
,kinn6l,https://www.tiktok.com/@kinn6l,"ungu please, favorit aku",Positif,Positif,30/05/2023
,opalici0us,https://www.tiktok.com/@opalici0us,enak wangi nya semua keluarga aku suka,Positif,Positif,29/05/2023
,hjdewitarot,https://www.tiktok.com/@hjdewitarot,WOW IKUTAN BELI AH,Positif,Positif,29/05/2023
,thehouseparfum,https://www.tiktok.com/@thehouseparfum,emang wangi banget ini. rekomended sih,Positif,Positif,28/05/2023
,nambelast,https://www.tiktok.com/@nambelast,setengah jam hilang bau nya,Negatif,Negatif,28/05/2023
,suliyadi87,https://www.tiktok.com/@suliyadi87,bau alkohol nya banyak banget bikin pusing dan mual,Negatif,Negatif,28/05/2023
,agussalim0038,https://www.tiktok.com/@agussalim0038,pengiriman terlama selama aku beli parfum ini,Negatif,Negatif,27/05/2023
,1933bacot0,https://www.tiktok.com/@1933bacot0,lewat dana ga bisa bang bayar nya?,Netral,Netral,26/05/2023
,imhafif,https://www.tiktok.com/@imhafif,Wangi nya ga enak,Negatif,Negatif,25/05/2023
,dnzyxyv,https://www.tiktok.com/@dnzyxyv,rekomendasi buat yang cowo mana bang,Netral,Netral,25/05/2023
,vnzsolo24jam,https://www.tiktok.com/@vnzsolo24jam,"aku ada sembilan botol yang varian VENTURA ada dua, GLORY, EXCLUSIVE ada dua, CLASSY, dan OCEAN BREEZE semua nya enak banget wangi nya lembut dan kalem banget",Positif,Positif,25/05/2023
,dnzyxyv,https://www.tiktok.com/@dnzyxyv,rekomendasi parfum moris yang mana? buat cowo biar cewe nempel,Netral,Netral,23/05/2023
,gabinfla_brayen,https://www.tiktok.com/@gabinfla_brayen,ga tahan lama soal nya pagi di pake siang bau nya rawan pudar,Negatif,Negatif,23/05/2023
,dimasraknu27,https://www.tiktok.com/@dimasraknu27,"setengah jam hilang, di badan aku",Negatif,Negatif,23/05/2023
,prettyy_zxy,https://www.tiktok.com/@prettyy_zxy,bisa tahan lama gak? kira-kira kalo tahan lama berapa jam?,Netral,Netral,23/05/2023
,samsulf_76,https://www.tiktok.com/@samsulf_76,Beli di indomaret kok wangi nya cuman Sebentar ya,Negatif,Negatif,21/05/2023
,sastrasihotan9,https://www.tiktok.com/@sastrasihotan9,emang wangi sih aku beli dari nice so,Positif,Positif,21/05/2023
,nurulnazmi1796,https://www.tiktok.com/@nurulnazmi1796,"udah punya beberapa varian, wangi nya juga enak-enak",Positif,Positif,20/05/2023
,efmelly2,https://www.tiktok.com/@efmelly2,Parfum terfavorit. Low budget. Paling suka varian ocean hihi,Positif,Positif,19/05/2023
,user33256697773264,https://www.tiktok.com/@user33256697773264,Ga ma beli host nya jelek,Negatif,Negatif,15/05/2023
,rayashaqueena21,https://www.tiktok.com/@rayashaqueena21,Kamu kenapa candu banget si Sesuka itu aku sama Wangi nya kamu love it,Positif,Positif,13/05/2023
,meliiiasariii,https://www.tiktok.com/@meliiiasariii,"best seller buat cewe yang mana kak, aku pengen check out tapi bingung",Netral,Netral,11/05/2023
,allinesky,https://www.tiktok.com/@allinesky,"langsung borong semua, dan paling recomendasi itu rainbow",Positif,Positif,11/05/2023
,abcdefghijkania_,https://www.tiktok.com/@abcdefghijkania_,emang parfum paling love,Positif,Positif,09/05/2023
,dimasn_snts,https://www.tiktok.com/@dimasn_snts,"tahan berapa lama kak, kerja di produksi yang panas sama bau nya ga nahan",Netral,Netral,09/05/2023
,mr.tyo1,https://www.tiktok.com/@mr.tyo1,benerin dong itu tutup botol nya jelek banget kualitas nya gampang lepas,Negatif,Negatif,08/05/2023
,sahhap5,https://www.tiktok.com/@sahhap5,alkohol nya kurangin lah parfum apaan alkohol nya banyak banget bikik kulit panas,Negatif,Negatif,08/05/2023
,sesil4u,https://www.tiktok.com/@sesil4u,rainbow favorit sih,Positif,Positif,05/05/2023
,ehsisiladaditiktok,https://www.tiktok.com/@ehsisiladaditiktok,"dulu waktu nikahan , sovenir nikahan aku isi nya parfume ini emang enak parah sih semua varian morris",Positif,Positif,03/05/2023
,n0penk,https://www.tiktok.com/@n0penk,"favorit, satu botol pasti habis nya pas sebulan",Positif,Positif,02/05/2023
,muhmd_mulyana,https://www.tiktok.com/@muhmd_mulyana,wangi nya bagus buat nongkrong ,Positif,Positif,02/05/2023
,ham111176,https://www.tiktok.com/@ham111176,Alhamdulillah amanah,Positif,Positif,02/05/2023
,apdiparamasan,https://www.tiktok.com/@apdiparamasan,"yang bener KAK, aku mau",Netral,Netral,02/05/2023
,muksin396,https://www.tiktok.com/@muksin396,pengiriman jelek banget udah lama pas sampe tutup nya hilang,Negatif,Negatif,02/05/2023
,mrs.yunaaa,https://www.tiktok.com/@mrs.yunaaa,"aku pertama nyoba, waktu lagi di nice soo, coba semua warna. tapi tetap glory selalu di beli. glory the best.... udah tiga bulan aku gak mau ganti-ganti lagi",Positif,Positif,01/05/2023
,agahendry,https://www.tiktok.com/@agahendry,"halal ga ini ka,buat jumatan bisa ga",Netral,Netral,01/05/2023
,sukaboba690,https://www.tiktok.com/@sukaboba690,buat varian cewek ada gak,Netral,Netral,30/04/2023
,azecristiano7717,https://www.tiktok.com/@azecristiano7717,cocok buat yang pengen beli yang besar tapi bingung mana yang wangi nya cocok lebih baik beli ini dulu,Positif,Positif,30/04/2023
,khatimah19,https://www.tiktok.com/@khatimah19,logo parfum nya ganti dong ka jelek banget logo nya gitu,Negatif,Negatif,30/04/2023
,ekadd2,https://www.tiktok.com/@ekadd2,host nya cuek banget di tanya tanya in malah asik maen handphone,Negatif,Negatif,30/04/2023
,sadeeeei,https://www.tiktok.com/@sadeeeei,"gak ada bau nya, wangi nya dua puluh sampai tiga puluh menit doang",Negatif,Negatif,29/04/2023
,spotifyresso66,https://www.tiktok.com/@spotifyresso66,BENER Banget UNTUNG BELI,Positif,Positif,29/04/2023
,den_051004,https://www.tiktok.com/@den_051004,aku beli waktu awal aja yah wangi nya pas kesini sini kok wangi nya berkurang gak sewangi kayak waktu awal beli,Negatif,Negatif,28/04/2023
,mdimasprasetyo648,https://www.tiktok.com/@mdimasprasetyo648,kesukaan aku dan keluarga aku nih,Positif,Positif,27/04/2023
,caprutciecampreet,https://www.tiktok.com/@caprutciecampreet,"udah pakai dong, wangi banget",Positif,Positif,27/04/2023
,dulfy31,https://www.tiktok.com/@dulfy31,kenapa wangi nya mudah hilang ya,Negatif,Negatif,26/04/2023
,samsonaudy,https://www.tiktok.com/@samsonaudy,"aku udah beli yang love elixir, emang bener enak banget wangi nya lembut ",Positif,Positif,26/04/2023
,panggildesyy_2rd,https://www.tiktok.com/@panggildesyy_2rd,harum kak Morris nya,Positif,Positif,26/04/2023
,ncsnocoffeerightsound,https://www.tiktok.com/@ncsnocoffeerightsound,kok lama banget sih sampai nya,Negatif,Negatif,26/04/2023
,apriyantirifai8,https://www.tiktok.com/@apriyantirifai8,pengiriman nya kok lama banget,Negatif,Negatif,26/04/2023
,bahrudinsmaruahe,https://www.tiktok.com/@bahrudinsmaruahe,"kak, paket aku belum sampai gimana sih ini lama banget udah seminggu lebih",Negatif,Negatif,26/04/2023
,mamasfauzan62,https://www.tiktok.com/@mamasfauzan62,"udah beli, ini pesanan aku yang kedua kali, emang enak banget wangi nya ga mau pindah ke merek lain",Positif,Positif,26/04/2023
,ncsnocoffeerightsound,https://www.tiktok.com/@ncsnocoffeerightsound,Gratis kan ya,Netral,Netral,26/04/2023
,erlindacornelia,https://www.tiktok.com/@erlindacornelia,paket aku belum dikirim dari sabtu,Negatif,Negatif,25/04/2023
,zahhrann200,https://www.tiktok.com/@zahhrann200,"mau dibatalin karena lama sampai nya, tapi percuma nunggu lama-lama",Negatif,Negatif,25/04/2023
,nuuu.360,https://www.tiktok.com/@nuuu.360,buat pengiriman lokasi Jawa Timur kok gak ada pilihan ya bang?,Netral,Netral,25/04/2023
,zeny_9,https://www.tiktok.com/@zeny_9,aku saranin jagan beli nih parfum wangi nya ga enak banget bikin pusing,Negatif,Negatif,25/04/2023
